time [s]	pitch[degree/s]	yaw[degree/s]	roll[degree/s]	altitude[km]	long[degrees]	latd[degrees]	thrust[kN]
   0.0000000e+00  -1.7549825e-10  -1.2760223e-01  -4.9999930e+01   4.6500000e-02   1.6018840e+01   6.9294098e+01   0.0000000e+00
   1.0000000e-02   2.1238569e-08  -1.2760223e-01  -4.9999969e+01   4.6500000e-02   1.6018840e+01   6.9294098e+01   5.4427819e+04
   2.0000000e-02   2.3286512e-08  -1.2760223e-01  -5.0000008e+01   4.6500000e-02   1.6018840e+01   6.9294098e+01   1.1981743e+05
   3.0000000e-02  -5.9647337e-07  -1.2760222e-01  -5.0000047e+01   4.6500006e-02   1.6018840e+01   6.9294098e+01   1.7515995e+05
   4.0000000e-02  -8.6893663e-07  -1.2760221e-01  -5.0000086e+01   4.6500161e-02   1.6018840e+01   6.9294098e+01   2.2231022e+05
   5.0000000e-02  -2.6808102e-07  -1.2760222e-01  -5.0000125e+01   4.6500737e-02   1.6018840e+01   6.9294098e+01   2.6228720e+05
   6.0000000e-02   2.1704251e-07  -1.2760223e-01  -5.0000164e+01   4.6502008e-02   1.6018840e+01   6.9294098e+01   2.9638966e+05
   7.0000000e-02   2.4305075e-07  -1.2760223e-01  -5.0000204e+01   4.6504194e-02   1.6018840e+01   6.9294098e+01   3.2555696e+05
   8.0000000e-02   6.3612325e-08  -1.2760223e-01  -5.0000243e+01   4.6507471e-02   1.6018840e+01   6.9294098e+01   3.5039612e+05
   9.0000000e-02  -6.1629122e-08  -1.2760223e-01  -5.0000282e+01   4.6512007e-02   1.6018840e+01   6.9294098e+01   3.7149642e+05
   1.0000000e-01  -6.9251752e-08  -1.2760223e-01  -5.0000321e+01   4.6517937e-02   1.6018840e+01   6.9294098e+01   3.8938460e+05
   1.1000000e-01  -2.4700749e-08  -1.2760223e-01  -5.0000360e+01   4.6525369e-02   1.6018840e+01   6.9294098e+01   4.0454634e+05
   1.2000000e-01   1.0663963e-08  -1.2760223e-01  -5.0000399e+01   4.6534409e-02   1.6018840e+01   6.9294098e+01   4.1744772e+05
   1.3000000e-01   2.3854090e-08  -1.2760223e-01  -5.0000438e+01   4.6545137e-02   1.6018840e+01   6.9294098e+01   4.2841069e+05
   1.4000000e-01   2.4176670e-08  -1.2760223e-01  -5.0000477e+01   4.6557620e-02   1.6018840e+01   6.9294098e+01   4.3769080e+05
   1.5000000e-01   1.9821611e-08  -1.2760223e-01  -5.0000516e+01   4.6571923e-02   1.6018840e+01   6.9294098e+01   4.4553528e+05
   1.6000000e-01   1.2687337e-08  -1.2760223e-01  -5.0000555e+01   4.6588094e-02   1.6018840e+01   6.9294098e+01   4.5215100e+05
   1.7000000e-01   2.6758631e-09  -1.2760223e-01  -5.0000594e+01   4.6606174e-02   1.6018840e+01   6.9294098e+01   4.5773200e+05
   1.8000000e-01  -9.0761406e-09  -1.2760223e-01  -5.0000633e+01   4.6626204e-02   1.6018840e+01   6.9294098e+01   4.6245726e+05
   1.9000000e-01  -1.7176788e-08  -1.2760223e-01  -5.0000672e+01   4.6648211e-02   1.6018840e+01   6.9294098e+01   4.6645397e+05
   2.0000000e-01  -1.5334984e-08  -1.2760223e-01  -5.0000711e+01   4.6672222e-02   1.6018840e+01   6.9294098e+01   4.6983811e+05
   2.1000000e-01  -1.7632887e-09  -1.2760223e-01  -5.0000750e+01   4.6698261e-02   1.6018840e+01   6.9294098e+01   4.7270982e+05
   2.2000000e-01   1.4695455e-08  -1.2760223e-01  -5.0000790e+01   4.6726345e-02   1.6018840e+01   6.9294098e+01   4.7513183e+05
   2.3000000e-01   2.3742165e-08  -1.2760223e-01  -5.0000829e+01   4.6756491e-02   1.6018840e+01   6.9294098e+01   4.7716157e+05
   2.4000000e-01   2.0570528e-08  -1.2760223e-01  -5.0000868e+01   4.6788713e-02   1.6018840e+01   6.9294098e+01   4.7886160e+05
   2.5000000e-01   9.4374084e-09  -1.2760223e-01  -5.0000907e+01   4.6823021e-02   1.6018840e+01   6.9294098e+01   4.8030292e+05
   2.6000000e-01  -4.5527969e-09  -1.2760223e-01  -5.0000946e+01   4.6859426e-02   1.6018840e+01   6.9294098e+01   4.8155574e+05
   2.7000000e-01  -1.6297025e-08  -1.2760223e-01  -5.0000985e+01   4.6897934e-02   1.6018840e+01   6.9294098e+01   4.8264048e+05
