t[s]		thtr[deg]	psir[deg]	phir[deg]	CA[-]		Clp[-]		Cld[1/rad]	Cmq[1/rad]	Cnr[1/rad]	CNa[1/rad]	CYb[1/rad]	emp[N]		Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	Ixy[kgm2]	Ixz[kgm2]	Iyz[kgm2]	Ixxp[kgm2]	Iyyp[kgm2]	Izzp[kgm2]	Ixyp[kgm2]	Ixzp[kgm2]	Iyzp[kgm2]	massa[kg]	pdin[Pa]	U[m/s]		Xcg[m]		Ycg[m]		Zcg[m]		Xcp[m]		Ycp[m]		Zcp[m]		mp[kg/s]	ax_net[m/s2]	ay_net[m/s2]	az_net[m/s2]	altitude[km]	mach[-]		Rec[km]		long[deg]	gcLat[deg]	gdLat[deg]	gravXV[m/s2]	gravYV[m/s2]	gravZV[m/s2]	gravXB[m/s2]	gravYB[m/s2]	gravZB[m/s2]	AoA[deg]	AoAtotal[deg] 	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
  0.0000000e+000  8.2021209e-002  9.7748942e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798300e+003  7.6706110e+004  7.6706110e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643550e+004  0.0000000e+000  0.0000000e+000 -8.0360000e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -1.7549825e-010 -1.2760223e-001 -4.9999930e+001
  2.6000000e-004  8.2020934e-002  9.7749173e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798269e+003  7.6705978e+004  7.6705978e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643500e+004  0.0000000e+000  0.0000000e+000 -8.0359977e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -2.7375905e-008 -1.2760223e-001 -4.9999931e+001
  5.2000000e-004  8.2020614e-002  9.7749442e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798238e+003  7.6705847e+004  7.6705847e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643451e+004  0.0000000e+000  0.0000000e+000 -8.0359953e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  4.3217134e-009 -1.2760223e-001 -4.9999932e+001
  7.8000000e-004  8.2020339e-002  9.7749672e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798206e+003  7.6705715e+004  7.6705715e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643401e+004  0.0000000e+000  0.0000000e+000 -8.0359930e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -2.3521484e-008 -1.2760223e-001 -4.9999933e+001
  1.0400000e-003  8.2020018e-002  9.7749941e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798175e+003  7.6705584e+004  7.6705584e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643352e+004  0.0000000e+000  0.0000000e+000 -8.0359906e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  8.9421794e-009 -1.2760222e-001 -4.9999934e+001
  1.3000000e-003  8.2019743e-002  9.7750172e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798144e+003  7.6705452e+004  7.6705452e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643302e+004  0.0000000e+000  0.0000000e+000 -8.0359883e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -1.8258227e-008 -1.2760223e-001 -4.9999935e+001
  1.5600000e-003  8.2019423e-002  9.7750441e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798113e+003  7.6705321e+004  7.6705321e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643253e+004  0.0000000e+000  0.0000000e+000 -8.0359860e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  1.3439391e-008 -1.2760223e-001 -4.9999936e+001
  1.8200000e-003  8.2019148e-002  9.7750671e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798082e+003  7.6705189e+004  7.6705189e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643203e+004  0.0000000e+000  0.0000000e+000 -8.0359836e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -1.4403806e-008 -1.2760222e-001 -4.9999937e+001
  2.0800000e-003  8.2018827e-002  9.7750940e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798050e+003  7.6705058e+004  7.6705058e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643153e+004  0.0000000e+000  0.0000000e+000 -8.0359813e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000  1.8059857e-008 -1.2760222e-001 -4.9999938e+001
  2.3400000e-003  8.2018553e-002  9.7751171e-002  0.0000000e+000  3.2275580e-001  2.6302000e+000  1.3854000e+000  3.4502190e+002  3.4502190e+002  5.5055500e+000  5.5055500e+000  0.0000000e+000  3.8798019e+003  7.6704926e+004  7.6704926e+004  0.0000000e+000  0.0000000e+000  0.0000000e+000 -1.2000000e+001 -5.0592000e+002 -5.0592000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  1.5643104e+004  0.0000000e+000  0.0000000e+000 -8.0359789e+000  0.0000000e+000  0.0000000e+000 -8.3206000e+000  0.0000000e+000  0.0000000e+000  1.9070000e+002  0.0000000e+000  0.0000000e+000  0.0000000e+000  4.6500000e-002  0.0000000e+000  6.3594919e+003  1.6018840e+001  6.9166496e+001  6.9294098e+001 -1.0703515e-002  0.0000000e+000  9.8297329e+000 -9.8297329e+000 -1.0058014e-002 -3.6608177e-003  0.0000000e+000  0.0000000e+000 -9.9065943e-009 -1.2760223e-001 -4.9999939e+001
