t[s]	thtr[deg]	psir[deg]	phir[deg]	CA[-]	Clp[1/rad]	Cld[1/rad]	Cmq[1/rad]	Cnr[1/rad]	CNa[1/rad]	CYb[1/rad]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	Ixy[kgm2]	Ixz[kgm2]	Iyz[kgm2]	Ixxp[kgm2]	Iyyp[kgm2]	Izzp[kgm2]	Ixyp[kgm2]	Ixzp[kgm2]	Iyzp[kgm2]	massa[kg]	pdin[Pa]	U[m/s]	Xcg[m]	Ycg[m]	Zcg[m]	Xcp[m]	Ycp[m]	Zcp[m]	mp[kg/s]	ax_net[m/s2]	ay_net[m/s2]	az_net[m/s2]	altitude[km]	mach[-]	Rec[km]	long[deg]	gcLat[deg]	gdLat[deg]	gravXV[m/s2]	gravYV[m/s2]	gravZV[m/s2]	gravXB[m/s2]	gravYB[m/s2]	gravZB[m/s2]	AoA[deg]	AoAtotal[deg] 
0.0000000E+000	-9.9548326E-003	-1.1863707E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798300E+003	7.6706110E+004	7.6706110E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643550E+004	0.0000000E+000	0.0000000E+000	-8.0360000E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
2.6000000E-004	-9.9556046E-003	-1.1863059E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798269E+003	7.6705978E+004	7.6705978E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643500E+004	0.0000000E+000	0.0000000E+000	-8.0359977E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
5.2000000E-004	-9.9565052E-003	-1.1862304E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798238E+003	7.6705847E+004	7.6705847E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643451E+004	0.0000000E+000	0.0000000E+000	-8.0359953E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
7.8000000E-004	-9.9572772E-003	-1.1861656E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798206E+003	7.6705715E+004	7.6705715E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643401E+004	0.0000000E+000	0.0000000E+000	-8.0359930E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
1.0400000E-003	-9.9581779E-003	-1.1860900E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798175E+003	7.6705584E+004	7.6705584E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643352E+004	0.0000000E+000	0.0000000E+000	-8.0359906E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
1.3000000E-003	-9.9589499E-003	-1.1860252E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798144E+003	7.6705452E+004	7.6705452E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643302E+004	0.0000000E+000	0.0000000E+000	-8.0359883E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
1.5600000E-003	-9.9598505E-003	-1.1859497E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798113E+003	7.6705321E+004	7.6705321E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643253E+004	0.0000000E+000	0.0000000E+000	-8.0359860E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
1.8200000E-003	-9.9606225E-003	-1.1858849E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798082E+003	7.6705189E+004	7.6705189E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643203E+004	0.0000000E+000	0.0000000E+000	-8.0359836E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
2.0800000E-003	-9.9615232E-003	-1.1858093E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798050E+003	7.6705058E+004	7.6705058E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643153E+004	0.0000000E+000	0.0000000E+000	-8.0359813E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
2.3400000E-003	-9.9622952E-003	-1.1857445E-002	-0.0000000E+000	3.2276000E-001	2.6302000E+000	1.3854000E+000	3.4502190E+002	3.4502190E+002	5.5055500E+000	5.5055500E+000	0.0000000E+000	3.8798019E+003	7.6704926E+004	7.6704926E+004	0.0000000E+000	0.0000000E+000	0.0000000E+000	-1.2000000E+001	-5.0592000E+002	-5.0592000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	1.5643104E+004	0.0000000E+000	0.0000000E+000	-8.0359789E+000	0.0000000E+000	0.0000000E+000	-8.3206000E+000	0.0000000E+000	0.0000000E+000	1.9070000E+002	0.0000000E+000	0.0000000E+000	0.0000000E+000	5.0000774E-002	0.0000000E+000	6.3781524E+003	-4.4367775E+001	-2.3005075E+000	-2.3159948E+000	1.2764666E-003	0.0000000E+000	9.8140741E+000	-9.8140741E+000	-9.7783014E-004	8.2049691E-004	0.0000000E+000	0.0000000E+000	
