t[s]	emp[N]	Ixx[kgm2]	Iyy[kgm2]	Izz[kgm2]	massa[kg]	Xcg[m]	altitude[km]	long[deg]	gdLat[deg]	DLR_pitch[deg]	DLR_yaw[deg]	DLR_roll[deg]
0.000000000	0.000000000	3879.830000000	76706.110000000	76706.110000000	15643.550000000	-8.036000000	0.050000774	-44.367775000	-2.315994800	0.000000000	0.015486970	-49.999998969
0.010000000	54449.926166542	3879.709958630	76701.051216869	76701.051216869	15641.642923089	-8.035909996	0.050000774	-44.367775000	-2.315994800	0.000013483	0.015486970	-50.000029681
0.020000000	119839.544704340	3879.590042732	76695.991103865	76695.991103865	15639.735818847	-8.035819981	0.050000774	-44.367775000	-2.315994800	0.000026911	0.015486970	-50.000060393
0.030000000	175158.449372763	3879.470111686	76690.923783343	76690.923783343	15637.837640500	-8.035730783	0.050000779	-44.367775000	-2.315994800	0.000038801	0.015486965	-50.000091104
0.040000000	222173.088638121	3879.350071147	76685.866885018	76685.866885018	15635.927902978	-8.035640534	0.050000932	-44.367775000	-2.315994800	0.000052654	0.015486967	-50.000121816
0.050000000	262187.293992869	3879.229939322	76680.816123034	76680.816123034	15634.012240606	-8.035549750	0.050001521	-44.367775000	-2.315994800	0.000067557	0.015486971	-50.000152527
0.060000000	296434.028549451	3879.109934351	76675.756072316	76675.756072316	15632.106263212	-8.035459863	0.050002808	-44.367775000	-2.315994800	0.000080887	0.015486970	-50.000183239
0.070000000	325612.824697876	3878.989983577	76670.694508840	76670.694508840	15630.201862431	-8.035370076	0.050005008	-44.367775000	-2.315994800	0.000093913	0.015486969	-50.000213951
0.080000000	350399.281468530	3878.870027516	76665.635441389	76665.635441389	15628.294864870	-8.035280024	0.050008312	-44.367775000	-2.315994800	0.000107310	0.015486968	-50.000244662
0.090000000	371473.526063738	3878.750042410	76660.577055713	76660.577055713	15626.387146144	-8.035189971	0.050012876	-44.367775000	-2.315994800	0.000120819	0.015486969	-50.000275374
0.100000000	389394.918790275	3878.630029240	76655.518282220	76655.518282220	15624.479850934	-8.035100017	0.050018837	-44.367775000	-2.315994800	0.000134274	0.015486968	-50.000306086
0.110000000	404593.219356532	3878.510012538	76650.459176488	76650.459176488	15622.572990623	-8.035010046	0.050026309	-44.367775000	-2.315994800	0.000147664	0.015486968	-50.000336797
